id,date_added,url,url_status,threat,tags,urlhaus_link,reporter,extra
3831445,2026-04-25 14:36:17,https://raw.githubusercontent.com/Bragii044/SecureKey-Vault/main/context/Secure_Vault_Key_v2.5.zip,online,2026-04-25 14:36:17,malware_download,,https://urlhaus.abuse.ch/url/3831445/,c2hunter
3831132,2026-04-25 09:32:16,http://5.63.19.19/vc2,online,2026-04-25 14:52:16,malware_download,"CoinMiner,elf,ua-wget",https://urlhaus.abuse.ch/url/3831132/,NDA0E
3828529,2026-04-22 08:54:09,http://38.76.199.154:8888/pro_payload.exe,online,2026-04-25 15:58:13,malware_download,"38-76-199-154-8888,meterpreter,opendir,ua-wget",https://urlhaus.abuse.ch/url/3828529/,BlinkzSec
3828530,2026-04-22 08:54:09,http://38.76.199.154:8888/payload_exe,online,2026-04-25 15:12:31,malware_download,"38-76-199-154-8888,meterpreter,opendir,ua-wget",https://urlhaus.abuse.ch/url/3828530/,BlinkzSec
3828531,2026-04-22 08:54:09,http://38.76.199.154:8888/payload.exe,online,2026-04-25 14:56:13,malware_download,"38-76-199-154-8888,meterpreter,opendir,ua-wget",https://urlhaus.abuse.ch/url/3828531/,BlinkzSec
3828528,2026-04-22 08:54:08,http://38.76.199.154:8888/payload.elf,online,2026-04-25 15:38:04,malware_download,"38-76-199-154-8888,ConnectBack,opendir,ua-wget",https://urlhaus.abuse.ch/url/3828528/,BlinkzSec
3823975,2026-04-16 23:56:13,https://raw.githubusercontent.com/Naveenkm007/Secure-Vault/refs/heads/main/node_modules/%40supabase/auth-ui-shared/dist/Vault_Secure_1.8-beta.2.zip,online,2026-04-25 14:20:16,malware_download,"SmartLoader,zip",https://urlhaus.abuse.ch/url/3823975/,tcains1
3823972,2026-04-16 23:56:12,https://github.com/Naveenkm007/SecureVault-Password-Manager/raw/refs/heads/main/node_modules/typescript/lib/tr/Password-Manager-Secure-Vault-v3.7.zip,online,2026-04-25 15:49:12,malware_download,"SmartLoader,zip",https://urlhaus.abuse.ch/url/3823972/,tcains1
3823973,2026-04-16 23:56:12,https://raw.githubusercontent.com/Naveenkm007/SecureVault-Password-Manager/refs/heads/main/node_modules/typescript/lib/tr/Password-Manager-Secure-Vault-v3.7.zip,online,2026-04-25 14:28:13,malware_download,"SmartLoader,zip",https://urlhaus.abuse.ch/url/3823973/,tcains1
3823967,2026-04-16 23:56:11,https://github.com/Naveenkm007/Secure-Vault/raw/refs/heads/main/node_modules/@supabase/auth-ui-shared/dist/Vault_Secure_1.8-beta.2.zip,online,2026-04-25 15:12:59,malware_download,"SmartLoader,zip",https://urlhaus.abuse.ch/url/3823967/,tcains1
